country,continent,GDP (US$ million)
Samoa,Oceania,780
Saint Vincent and the Grenadines,Americas,769
American Samoa,Oceania,N/A
Dominica,Americas,571
São Tomé and Príncipe,Africa,534
Tonga,Oceania,501
Micronesia,Oceania,404
Cook Islands,Oceania,N/A
Anguilla,Americas,N/A
Marshall Islands,Oceania,241
Kiribati,Oceania,232
Palau,Oceania,208
Nauru,Oceania,133
Montserrat,Americas,N/A
Tuvalu,Oceania,65
